Rank,Name,Release Year,IMDb Rating,No. of User ratings,Duration,Director,Stars,Budget (estimated),Worldwide Gross
99,North by Northwest,1959,8.3,"304,974",136 min,Alfred Hitchcock,"('Cary Grant', 'Eva Marie Saint', 'James Mason')","$3,101,000","$75,175"
100,Eternal Sunshine of the Spotless Mind,2004,8.3,"931,240",108 min,Michel Gondry,"('Jim Carrey', 'Kate Winslet', 'Tom Wilkinson')","$20,000,000","$74,036,715"
101,Ladri di biciclette,1948,8.3,"150,608",89 min,Vittorio De Sica,"('Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell')","$133,000","$428,978"
102,Ikiru,1952,8.3,"70,963","143 min
|
123 min
            (cut)",Akira Kurosawa,"('Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori"")",N/A,"$96,302"
103,Lawrence of Arabia,1962,8.2,"273,556","187 min
            (re-release)
            (1970)
          |
202 min
            (cut)
            (1962)
            (theatrical)
          |
222 min
            (premiere)
          |
228 min
            (1988)
            (restored)",David Lean,"(""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn')","$15,000,000","$45,715,757"
104,The Kid,1921,8.2,"116,865","68 min
|
50 min
            (1971 edit with new Chaplin score)
          |
51 min
            (DVD)
          |
53 min
            (re-release)
          |
58 min
            (theatrical)",Charles Chaplin,"('Charles Chaplin', 'Edna Purviance', 'Jackie Coogan')","$250,000","$26,916"
105,The Father,2020,8.2,"71,034",97 min,Florian Zeller,"('Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss')",N/A,"$12,647,605"
106,Full Metal Jacket,1987,8.2,"688,638",116 min,Stanley Kubrick,"('Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio"")","$30,000,000","$46,357,676"
107,Dangal,2016,8.2,"165,185","161 min
|
140 min
            (Mainland China Cut Version)",Nitesh Tiwari,"('Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh')","INR700,000,000","$303,723,636"
108,A Clockwork Orange,1971,8.2,"772,171",136 min,Stanley Kubrick,"('Malcolm McDowell', 'Patrick Magee', 'Michael Bates')","$2,200,000","$26,904,636"
109,Taxi Driver,1976,8.2,"744,600","114 min
|
110 min
            (cut)",Martin Scorsese,"('Robert De Niro', 'Jodie Foster', 'Cybill Shepherd')","$1,300,000","$28,441,292"
110,Metropolis,1927,8.2,"163,252","153 min
|
93 min
            (re-release)
          |
114 min
            (1927 cut)
          |
123 min
            (2002 Murnau Foundation 75th aniversary restored)
          |
80 min
            (Giorgio Moroder)",Fritz Lang,"('Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich')","DEM6,000,000","$1,349,711"
111,The Sting,1973,8.2,"246,352",129 min,George Roy Hill,"('Paul Newman', 'Robert Redford', 'Robert Shaw')","$5,500,000","$156,000,000"
112,Double Indemnity,1944,8.2,"146,698","107 min
|
90 min
            (Ontario)",Billy Wilder,"('Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson')","$927,262","$14,190"
113,1917,2019,8.2,"466,907",119 min,Sam Mendes,"('Dean-Charles Chapman', 'George MacKay', 'Daniel Mays')","$95,000,000","$384,628,640"
114,The Apartment,1960,8.2,"168,174",125 min,Billy Wilder,"('Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray')","$3,000,000","$18,778,454"
115,Jodaeiye Nader az Simin,2011,8.2,"226,119",123 min,Asghar Farhadi,"('Payman Maadi', 'Leila Hatami', 'Sareh Bayat')","$500,000","$22,926,076"
116,Le fabuleux destin d'Amélie Poulain,2001,8.2,"715,474",122 min,Jean-Pierre Jeunet,"('Audrey Tautou', 'Mathieu Kassovitz', 'Rufus')","$10,000,000","$173,924,742"
117,Incendies,2010,8.2,"156,596",131 min,Denis Villeneuve,"('Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette')","$6,800,000","$7,099,598"
